[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/alfa-rex.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/css/colors/coffee/admin.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "//chosen.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-content/languages/ws.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/fonnvlu/bahrcaug.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/fonts/doc.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/tinymce/plugins/paste/about.php7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/includes/cloud.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-content/languages/ynz.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "//wp-content/themes/twenty/twenty.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "//wp-admin/images/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/sketch/404.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/uploads/admin.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/Cache/ioxi002.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/dnjyoumb.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/fonts/ioxi002.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/css/settings.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/css/colors/modern/ECLmcjPC.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/revslider/includes/external/page/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/cgi-bin/ynz.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/ws.php.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/upgrade/ynz.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/ovacnqjzf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/adminer.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/tyygbsq/jujhlitb.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:42 +0000] 404 - GET http thomasgroupusa.com "/wp.php/alfa1.php/text.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/sxx.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/js/js.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/pwqcgeht.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "//wp-includes/css/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/tresculturas.mx/wp-content/plugins/fix/up.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/mvhwht7j/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/maint/file.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/js/jquery.uploadfile.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/alera/alera/%23U00ae.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/sidwsi.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/tinymce/plugins/compat3x/about.php7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/images/alfa-rex.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/ova-tools.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:43 +0000] 404 - GET http thomasgroupusa.com "/wp-content/mah.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/uploads/style_upload.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/cmHBMXtq9s7.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/tdtbbpf/tvfkqcfq.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/ALFA_DATA/ynz.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/owAKyWT/luuf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/portal/wp-content/plugins/wdyridg/ijveymvj.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "//.well-known/pki-validation/about.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "//wp-content/" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/njwrdzrp.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/tinymce/plugins/compat3x/ws.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/xemskce/qijvachs.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/bp.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/SimplePie/Decode/about.php7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/9yatx80d/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:44 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/ws.php.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
